,Date,0.5
0,2024-11-25,2216259.516981244
1,2024-12-02,2230964.5965516567
2,2024-12-09,2360687.2723400593
3,2024-12-16,2482331.252285838
4,2024-12-23,2594712.6452088356
5,2024-12-30,2636822.2117245197
6,2025-01-06,2704462.7386808395
7,2025-01-13,2814909.6941947937
8,2025-01-20,2936938.238748908
9,2025-01-27,2986821.688488126
10,2025-02-03,3132430.2378624678
11,2025-02-10,3220469.7234660387
12,2025-02-17,3272066.6795372963
13,2025-02-24,3366236.228236556
14,2025-03-03,3546781.0527443886
15,2025-03-10,3674631.2344163656
16,2025-03-17,3775199.0090489388
17,2025-03-24,3800928.446123004
18,2025-03-31,3930459.871995449
19,2025-04-07,4030319.170218706
20,2025-04-14,4179566.113743186
21,2025-04-21,4305638.522917032
22,2025-04-28,4447903.683072329
23,2025-05-05,4536204.87908721
24,2025-05-12,4668508.525401354
25,2025-05-19,4806878.484839201
26,2025-05-26,5000613.359218836
27,2025-06-02,5280122.659468651
28,2025-06-09,5525626.64065361
29,2025-06-16,5710182.551455498
